symbol,direction,model,entry_ts,exit_ts,entry_price,exit_price,size_usdt,pnl,r_value,exit_reason,bars_held
BTC/USDT,short,swing_low_continuation,2022-05-18 22:30:00+00:00,2022-05-19 14:00:00+00:00,29077.51,29844.88731466,39355.35,-1038.6172,-1.0,sl,31
SOL/USDT,short,swing_low_continuation,2022-05-23 23:30:00+00:00,2022-05-24 14:00:00+00:00,49.1,47.11859476,38991.83,1573.4952,0.7522,tp,29
ETH/USDT,short,swing_low_continuation,2022-05-12 03:30:00+00:00,2022-05-26 12:30:00+00:00,2009.89,1797.55262686,40911.85,4322.1842,1.1851,tp,690
SOL/USDT,short,swing_low_continuation,2022-05-26 08:30:00+00:00,2022-05-26 13:00:00+00:00,44.35,42.32271557,39542.56,1807.5314,0.9044,tp,9
ETH/USDT,short,swing_low_continuation,2022-05-26 13:00:00+00:00,2022-05-26 13:00:00+00:00,1811.67,1756.9939042,41055.32,1239.0472,0.8,tp,0
BTC/USDT,short,swing_low_continuation,2022-05-26 13:30:00+00:00,2022-05-26 16:00:00+00:00,28245.87,29654.75013754,42121.62,-2100.9908,-1.0,sl,5
ETH/USDT,short,swing_low_continuation,2022-05-26 13:30:00+00:00,2022-05-26 16:00:00+00:00,1766.94,1889.25582549,42121.62,-2915.8549,-1.0,sl,5
SOL/USDT,short,swing_low_continuation,2022-05-26 23:30:00+00:00,2022-05-27 02:00:00+00:00,43.86,41.36990987,40365.73,2291.7078,1.1488,tp,5
ETH/USDT,short,swing_low_continuation,2022-05-26 23:30:00+00:00,2022-05-27 02:00:00+00:00,1813.57,1729.67369345,40365.73,1867.3311,1.4756,tp,5
BTC/USDT,short,swing_low_continuation,2022-05-27 04:30:00+00:00,2022-05-27 18:00:00+00:00,28996.89,28339.57122081,41821.39,948.0322,0.9884,tp,27
SOL/USDT,short,swing_low_continuation,2022-05-27 04:30:00+00:00,2022-05-28 19:30:00+00:00,42.38,44.47163088,41821.39,-2064.0611,-1.0,sl,78
ETH/USDT,short,swing_low_continuation,2022-05-27 18:30:00+00:00,2022-05-29 12:00:00+00:00,1724.31,1815.27340512,42153.2,-2223.7293,-1.0,sl,83
ETH/USDT,long,pullback_long,2022-05-31 14:30:00+00:00,2022-06-01 14:30:00+00:00,1951.24,1907.89024572,40652.48,-903.1565,-1.0,sl,48
