symbol,model,direction,entry_ts,exit_ts,entry_price,exit_price,pnl
SOL/USDT,slc,short,2022-05-09 17:00:00+00:00,2022-05-09 18:30:00+00:00,66.76,63.057815357615816,2208.7492184680978
SOL/USDT,slc,short,2022-05-09 19:00:00+00:00,2022-05-10 00:00:00+00:00,65.93,61.57056528284221,2740.4903277476965
ETH/USDT,slc,short,2022-05-09 19:00:00+00:00,2022-05-10 05:30:00+00:00,2285.05,2407.06944719599,-2213.168684830422
BTC/USDT,slc,short,2022-05-09 19:00:00+00:00,2022-05-10 06:00:00+00:00,30786.97,32214.585271625358,-1921.876194977559
BTC/USDT,slc,short,2022-05-10 14:30:00+00:00,2022-05-11 12:30:00+00:00,31625.85,29616.933349186205,2601.69262906006
BTC/USDT,slc,short,2022-05-12 03:30:00+00:00,2022-05-13 03:30:00+00:00,28526.45,30780.123215813062,-3307.723219330517
BTC/USDT,slc,short,2022-05-14 15:30:00+00:00,2022-05-14 18:00:00+00:00,28930.29,29813.877683177387,-1243.3831390689406
BTC/USDT,slc,short,2022-05-18 22:30:00+00:00,2022-05-19 14:00:00+00:00,29077.51,29844.887314663854,-1062.899951785783
SOL/USDT,slc,short,2022-05-24 08:30:00+00:00,2022-05-24 14:00:00+00:00,49.73,47.20892250831604,2022.9179313900877
ETH/USDT,slc,short,2022-05-12 03:30:00+00:00,2022-05-26 12:30:00+00:00,2009.89,1797.5526268605379,4423.2358654985155
SOL/USDT,slc,short,2022-05-26 08:30:00+00:00,2022-05-26 13:00:00+00:00,44.35,42.32271556538913,1856.392760707531
ETH/USDT,slc,short,2022-05-26 13:00:00+00:00,2022-05-26 13:00:00+00:00,1811.67,1756.9939041961914,1272.3746333881584
BTC/USDT,slc,short,2022-05-26 13:30:00+00:00,2022-05-26 16:00:00+00:00,28245.87,29654.75013753925,-2157.5069025495372
ETH/USDT,slc,short,2022-05-26 13:30:00+00:00,2022-05-26 16:00:00+00:00,1766.94,1889.2558254865637,-2994.290631902091
SOL/USDT,slc,short,2022-05-26 23:30:00+00:00,2022-05-27 02:00:00+00:00,43.86,41.36990986894992,2353.3538006295626
ETH/USDT,slc,short,2022-05-26 23:30:00+00:00,2022-05-27 02:00:00+00:00,1813.57,1729.6736934544126,1917.5615041866536
BTC/USDT,slc,short,2022-05-27 04:30:00+00:00,2022-05-27 18:00:00+00:00,28996.89,28339.571220809885,973.5339305060983
SOL/USDT,slc,short,2022-05-27 04:30:00+00:00,2022-05-28 19:30:00+00:00,42.38,44.47163088442496,-2119.5836808876893
ETH/USDT,slc,short,2022-05-27 18:30:00+00:00,2022-05-29 12:00:00+00:00,1724.31,1815.2734051223788,-2283.5468966363906
BTC/USDT,pbl,long,2022-06-01 06:00:00+00:00,2022-06-01 14:30:00+00:00,31622.28,31192.588575731566,-567.2552237994629
BTC/USDT,slc,short,2022-06-01 19:30:00+00:00,2022-06-01 20:30:00+00:00,30171.54,29456.549836200156,984.5713730537252
SOL/USDT,slc,short,2022-06-01 18:30:00+00:00,2022-06-02 00:30:00+00:00,41.8,39.37138895898692,2413.9390379704114
BTC/USDT,slc,short,2022-06-01 21:00:00+00:00,2022-06-02 22:00:00+00:00,29636.1,30567.794654410533,-1316.9958432202775
BTC/USDT,pbl,long,2022-06-03 07:30:00+00:00,2022-06-03 10:00:00+00:00,30405.06,30051.046990829123,-492.2290925297038
SOL/USDT,slc,short,2022-06-03 12:30:00+00:00,2022-06-04 02:00:00+00:00,38.31,36.322688153552846,2184.1093041021973
SOL/USDT,slc,short,2022-06-04 02:30:00+00:00,2022-06-04 14:30:00+00:00,36.07,38.15932543563112,-2483.103399822379
ETH/USDT,slc,short,2022-06-01 21:00:00+00:00,2022-06-06 01:30:00+00:00,1793.16,1865.6220892198448,-1692.8702033815223
SOL/USDT,slc,short,2022-06-07 11:30:00+00:00,2022-06-07 19:30:00+00:00,37.95,40.31060893300776,-2575.6184487067617
