symbol,direction,entry_time,exit_time,entry_price,exit_price,size_usdt,pnl_usdt,exit_reason,r_multiple,regime
BTC/USDT,long,2024-10-18 03:30:00+00:00,2024-10-18 14:30:00+00:00,67957.031535,68548.59813042023,1308.6304321658558,9.036105379616991,partial_close,1.0,bull_trend
SOL/USDT,long,2024-10-19 22:00:00+00:00,2024-10-19 22:30:00+00:00,157.08850499999997,158.62470256309055,1320.6828397365548,10.537972799771563,partial_close,1.0,bull_trend
SOL/USDT,long,2024-10-19 22:00:00+00:00,2024-10-20 00:00:00+00:00,157.08850499999997,159.9253851261812,2681.386371586338,43.596982163492534,take_profit,1.8466896409299614,bull_trend
SOL/USDT,long,2024-10-20 01:00:00+00:00,2024-10-20 05:00:00+00:00,158.849385,160.59979805335607,1321.3762902166343,12.182197915920842,partial_close,1.0,bull_trend
SOL/USDT,long,2024-10-20 01:00:00+00:00,2024-10-20 06:00:00+00:00,158.849385,158.849385,2682.7942861974084,-4.829029715155334,stop_loss,0.0,bull_trend
BTC/USDT,long,2024-10-18 03:30:00+00:00,2024-10-20 22:00:00+00:00,67957.031535,69038.28012084049,2656.916331973101,37.49113085974416,take_profit,1.827771537830673,bull_trend
BTC/USDT,long,2024-10-21 01:00:00+00:00,2024-10-21 03:00:00+00:00,69194.58,68617.67346791855,3967.3444048403053,-40.218765918140996,stop_loss,-1.0,bull_trend
SOL/USDT,long,2024-10-21 03:00:00+00:00,2024-10-21 05:00:00+00:00,168.54423,171.42954629771452,1321.4522100162408,20.243386183060448,partial_close,1.0,bull_trend
BNB/USDT,long,2024-10-21 01:00:00+00:00,2024-10-21 08:00:00+00:00,605.00235,610.190138829895,1194.3180066780199,8.091294609267484,partial_close,1.0,bull_trend
SOL/USDT,long,2024-10-21 03:00:00+00:00,2024-10-21 08:00:00+00:00,168.54423,168.54423,2682.9484263966096,-4.829307167513897,stop_loss,0.0,bull_trend
ETH/USDT,long,2024-10-21 01:00:00+00:00,2024-10-21 09:00:00+00:00,2747.6131199999995,2713.511663064519,3930.1880098479633,-55.8530897603363,stop_loss,-1.0,bull_trend
BNB/USDT,long,2024-10-21 01:00:00+00:00,2024-10-21 09:30:00+00:00,605.00235,605.00235,2424.827468103858,-4.364689442586944,stop_loss,0.0,bull_trend
XRP/USDT,long,2024-10-21 11:30:00+00:00,2024-10-21 13:00:00+00:00,0.556278,0.5488238064918847,3686.1585706929864,-56.030062916099226,stop_loss,-1.0,bull_trend
ETH/USDT,short,2024-10-22 04:00:00+00:00,2024-10-22 09:30:00+00:00,2643.23772,2617.041464703713,1296.2040310722996,10.51308242381742,partial_close,1.0,bear_trend
ETH/USDT,short,2024-10-22 04:00:00+00:00,2024-10-22 12:00:00+00:00,2643.23772,2643.23772,2631.6869721770927,-4.737036549918766,stop_loss,-0.0,bear_trend
XRP/USDT,short,2024-10-22 16:30:00+00:00,2024-10-23 08:00:00+00:00,0.5315341000000001,0.5254118553457624,1215.6732685809397,11.81399262209657,partial_close,1.0,bear_trend
BTC/USDT,short,2024-10-21 16:00:00+00:00,2024-10-23 08:30:00+00:00,67307.34949000001,66562.94736120325,1308.671818308724,12.117967458662287,partial_close,1.0,bear_trend
ETH/USDT,short,2024-10-23 10:30:00+00:00,2024-10-23 12:30:00+00:00,2584.32719,2558.6583455609475,1296.2595356133377,10.541838008742605,partial_close,1.0,bear_trend
ETH/USDT,short,2024-10-23 10:30:00+00:00,2024-10-23 13:30:00+00:00,2584.32719,2584.32719,2631.799663214958,-4.737239393786925,stop_loss,-0.0,bear_trend
ETH/USDT,short,2024-10-23 14:00:00+00:00,2024-10-23 15:00:00+00:00,2580.699005,2554.983640980205,1296.3154161624852,10.583761581567359,partial_close,1.0,bear_trend
ETH/USDT,short,2024-10-23 14:00:00+00:00,2024-10-23 15:30:00+00:00,2580.699005,2533.1412619604102,2631.9131176632272,43.764085435121586,take_profit,1.8493902323521971,bear_trend
BNB/USDT,short,2024-10-23 10:30:00+00:00,2024-10-23 15:30:00+00:00,583.5081,578.6905327814452,1194.3480887781132,7.710965775457524,partial_close,1.0,bear_trend
BTC/USDT,short,2024-10-21 16:00:00+00:00,2024-10-23 16:00:00+00:00,67307.34949000001,65919.55676240647,2657.000358384378,50.00139846524449,take_profit,1.8643051569945643,bear_trend
XRP/USDT,short,2024-10-22 16:30:00+00:00,2024-10-23 16:30:00+00:00,0.5315341000000001,0.5200873106915245,2468.1851210582713,48.71057351268583,take_profit,1.8697046516349791,bear_trend
BNB/USDT,short,2024-10-23 10:30:00+00:00,2024-10-23 18:00:00+00:00,583.5081,574.7486655628902,2424.888543882835,32.03684134791829,take_profit,1.8182277568173675,bear_trend
BNB/USDT,short,2024-10-23 18:30:00+00:00,2024-10-23 19:30:00+00:00,575.3122000000001,581.6153227496159,3620.7686371597615,-46.18653912533188,stop_loss,-1.0,bear_trend
XRP/USDT,short,2024-10-23 19:00:00+00:00,2024-10-23 20:30:00+00:00,0.5171413,0.5243799020550686,3686.2204305503683,-58.23247354251541,stop_loss,-1.0,bear_trend
ETH/USDT,short,2024-10-23 19:30:00+00:00,2024-10-24 00:30:00+00:00,2501.198775,2544.8616204208324,3930.3395960498387,-75.6856356940502,stop_loss,-1.0,bear_trend
SOL/USDT,long,2024-10-24 16:00:00+00:00,2024-10-24 21:00:00+00:00,175.517715,178.5931284854788,1321.634532623886,20.77867850940124,partial_close,1.0,bull_trend
