symbol,entry_time,exit_time,entry_price,exit_price,quantity,pnl,pnl_pct,regime,models_fired,score,exit_reason,duration_bars
BTC/USDT,2024-06-14 11:00:00+00:00,2024-06-14 14:00:00+00:00,64204.12453731,64574.91370911,0.06185755,-28.9106,-0.73,bear_trend,liquidity_sweep,0.5803,stop_loss,3
BTC/USDT,2024-06-16 00:00:00+00:00,2024-06-16 06:00:00+00:00,63973.80542353,64359.7765934,0.06206024,17.9802,0.45,ranging,mean_reversion,1.0,take_profit,6
BTC/USDT,2024-06-17 12:00:00+00:00,2024-06-17 22:00:00+00:00,63040.86065537,63480.01426001,0.06298819,-33.6385,-0.85,bear_trend,trend,0.6205,stop_loss,10
BTC/USDT,2024-06-17 22:00:00+00:00,2024-06-19 05:00:00+00:00,63136.34909195,63588.08443767,0.06286981,-34.3759,-0.87,bear_trend,trend,0.4828,stop_loss,31
BTC/USDT,2024-06-19 07:00:00+00:00,2024-06-19 14:00:00+00:00,63399.39720334,63930.67457811,0.0625853,27.2734,0.69,bull_trend,trend,0.4546,take_profit,7
BTC/USDT,2024-06-19 14:00:00+00:00,2024-06-19 20:00:00+00:00,63809.3872528,63304.75540136,0.06219837,-37.317,-0.94,bull_trend,trend,0.6639,stop_loss,6
BTC/USDT,2024-06-19 23:00:00+00:00,2024-06-20 07:00:00+00:00,63357.81465447,63851.9618226,0.06261627,-36.9157,-0.93,bear_trend,trend,0.7956,stop_loss,8
BTC/USDT,2024-06-20 09:00:00+00:00,2024-06-20 18:00:00+00:00,63813.95914658,64454.81000583,0.06214377,33.8466,0.85,bull_trend,trend,0.6496,take_profit,9
BTC/USDT,2024-06-20 18:00:00+00:00,2024-06-21 08:00:00+00:00,64311.45665436,64985.05963637,0.06168217,35.5678,0.9,bull_trend,trend,0.6865,take_profit,14
BTC/USDT,2024-06-22 03:00:00+00:00,2024-06-22 06:00:00+00:00,66443.12958286,67223.81084461,0.05972295,40.6374,1.02,bull_trend,trend,1.0,take_profit,3
BTC/USDT,2024-06-22 08:00:00+00:00,2024-06-23 01:00:00+00:00,66773.75835422,66138.58409149,0.0594497,-43.6871,-1.1,bull_trend,trend,1.0,stop_loss,17
BTC/USDT,2024-06-23 01:00:00+00:00,2024-06-23 04:00:00+00:00,66236.51971507,65873.82436692,0.05990381,-27.6623,-0.7,bull_trend,liquidity_sweep,0.5304,stop_loss,3
BTC/USDT,2024-06-23 05:00:00+00:00,2024-06-25 19:00:00+00:00,66051.22865388,64797.0852013,0.06005324,69.422,1.75,bear_trend,trend,0.5579,take_profit,62
BTC/USDT,2024-06-25 19:00:00+00:00,2024-06-26 03:00:00+00:00,65460.83120985,66087.33278646,0.0606355,-43.9706,-1.11,bear_trend,trend,0.7358,stop_loss,8
BTC/USDT,2024-06-27 06:00:00+00:00,2024-06-27 14:00:00+00:00,65079.69906109,64497.87187765,0.06096171,29.5447,0.74,bear_trend,trend,0.6853,take_profit,8
BTC/USDT,2024-06-27 19:00:00+00:00,2024-06-28 08:00:00+00:00,64575.6480985,64060.45303325,0.06145397,25.7319,0.65,bear_trend,trend,1.0,take_profit,13
BTC/USDT,2024-06-28 10:00:00+00:00,2024-06-28 16:00:00+00:00,64269.56674929,63798.85123177,0.0617608,23.1396,0.58,bear_trend,trend,0.8,take_profit,6
BTC/USDT,2024-06-29 10:00:00+00:00,2024-06-29 13:00:00+00:00,62180.32056267,62911.50614887,0.06384898,-52.6757,-1.33,bear_trend,trend,0.8,stop_loss,3
BTC/USDT,2024-06-29 13:00:00+00:00,2024-06-29 17:00:00+00:00,62661.87098583,63428.99702564,0.06332272,-54.5648,-1.38,bear_trend,trend,0.8,stop_loss,4
BTC/USDT,2024-06-29 17:00:00+00:00,2024-06-30 18:00:00+00:00,63060.82636134,63938.92761863,0.06288563,-61.2098,-1.54,bear_trend,trend,0.6772,stop_loss,25
BTC/USDT,2024-07-01 08:00:00+00:00,2024-07-01 17:00:00+00:00,64747.36214357,64154.49177501,0.0612079,-42.2057,-1.06,bull_trend,trend,0.6375,stop_loss,9
BTC/USDT,2024-07-01 18:00:00+00:00,2024-07-01 23:00:00+00:00,64815.66867235,65828.228145,0.06111562,55.8949,1.41,bull_trend,trend,0.5738,take_profit,5
BTC/USDT,2024-07-01 23:00:00+00:00,2024-07-02 12:00:00+00:00,65980.35310896,67205.52968813,0.06006879,67.5946,1.71,bull_trend,trend,0.7178,take_profit,13
BTC/USDT,2024-07-02 23:00:00+00:00,2024-07-03 07:00:00+00:00,68490.06775376,69718.39498793,0.05790548,65.1246,1.64,bull_trend,trend,1.0,take_profit,8
BTC/USDT,2024-07-03 11:00:00+00:00,2024-07-04 06:00:00+00:00,69678.11539186,68680.49982701,0.05695389,-62.7281,-1.58,bull_trend,trend,1.0,stop_loss,19
BTC/USDT,2024-07-04 08:00:00+00:00,2024-07-05 00:00:00+00:00,69539.6682649,70858.41585023,0.05702946,-81.2126,-2.05,bear_trend,trend,0.5456,stop_loss,16
BTC/USDT,2024-07-05 02:00:00+00:00,2024-07-07 03:00:00+00:00,70467.39890439,73145.6025171,0.05623083,144.541,3.65,bull_trend,trend,0.6972,take_profit,49
BTC/USDT,2024-07-07 14:00:00+00:00,2024-07-07 20:00:00+00:00,72888.13510504,71602.81119433,0.05444096,-75.8739,-1.91,bull_trend,trend,0.8,stop_loss,6
BTC/USDT,2024-07-07 22:00:00+00:00,2024-07-08 05:00:00+00:00,72314.09015212,73627.94710581,0.05482956,-78.0397,-1.97,bear_trend,trend,0.4821,stop_loss,7
BTC/USDT,2024-07-08 07:00:00+00:00,2024-07-10 11:00:00+00:00,73065.37238648,71857.73156772,0.05422144,-71.3735,-1.8,bull_trend,trend,0.6712,stop_loss,52
BTC/USDT,2024-07-10 20:00:00+00:00,2024-07-11 03:00:00+00:00,70686.1730164,71368.98092707,0.05600431,-44.207,-1.12,volatility_expansion,momentum_breakout,0.6739,stop_loss,7
BTC/USDT,2024-07-11 05:00:00+00:00,2024-07-11 22:00:00+00:00,70590.38939375,69409.24110986,0.05605366,60.3221,1.52,bear_trend,trend,0.5526,take_profit,17
BTC/USDT,2024-07-12 02:00:00+00:00,2024-07-13 01:00:00+00:00,68423.04738531,66423.6777724,0.05786267,109.8369,2.77,volatility_expansion,momentum_breakout,0.4565,take_profit,23
BTC/USDT,2024-07-13 05:00:00+00:00,2024-07-13 20:00:00+00:00,66867.1884793,65637.24361183,0.05927302,67.0121,1.69,bear_trend,trend,0.8,take_profit,15
BTC/USDT,2024-07-14 01:00:00+00:00,2024-07-14 18:00:00+00:00,65123.05381333,64667.42450631,0.06089979,-33.6759,-0.85,volatility_expansion,liquidity_sweep,0.538,stop_loss,17
BTC/USDT,2024-07-14 20:00:00+00:00,2024-07-15 07:00:00+00:00,64684.96607028,65403.64098949,0.06128951,-50.027,-1.26,bear_trend,trend,0.7144,stop_loss,11
BTC/USDT,2024-07-15 10:00:00+00:00,2024-07-15 13:00:00+00:00,64949.54279769,64412.50377052,0.0610072,26.8442,0.68,bear_trend,liquidity_sweep,0.4627,take_profit,3
BTC/USDT,2024-07-17 06:00:00+00:00,2024-07-17 08:00:00+00:00,60787.1820157,61547.31895986,0.06520042,-55.5434,-1.4,bear_trend,trend,0.8,stop_loss,2
BTC/USDT,2024-07-17 08:00:00+00:00,2024-07-19 20:00:00+00:00,61534.39732647,62311.65814309,0.06437066,-56.0118,-1.41,bear_trend,trend,0.7401,stop_loss,60
BTC/USDT,2024-07-20 13:00:00+00:00,2024-07-22 01:00:00+00:00,60551.1553076,61834.26164127,0.06537695,77.8847,1.97,uncertain,liquidity_sweep,0.452,take_profit,36
BTC/USDT,2024-07-22 05:00:00+00:00,2024-07-22 14:00:00+00:00,62314.87205577,64051.45329961,0.06357455,104.3771,2.63,volatility_expansion,momentum_breakout,0.5764,take_profit,9
BTC/USDT,2024-07-23 02:00:00+00:00,2024-07-23 06:00:00+00:00,64372.4216829,65360.8756987,0.06160557,54.9001,1.38,bull_trend,trend,0.8,take_profit,4
BTC/USDT,2024-07-23 17:00:00+00:00,2024-07-23 18:00:00+00:00,64952.69027087,64322.00932158,0.06108723,-44.4493,-1.12,bull_trend,trend,0.8,stop_loss,1
